Game;ReleaseDate;Genre;TotalEarnings;OfflineEarnings
Doom 3;2004;First-Person Shooter;257748.16;257748.16
Doom (2016);2016;First-Person Shooter;7000;7000
Dofus;2004;Multiplayer Online Battle Arena;0;0
DNF Duel;2022;Fighting Game;128595.48;127595.48
Divekick;2013;Fighting Game;5840;5840
Dirt Rally 2.0;2019;Racing;30000;10000
Digimon Rumble Arena;2001;Fighting Game;200;0
Diabotical;2020;First-Person Shooter;265072.09;25842.43
Descent 3;1999;First-Person Shooter;50000;50000
Dengeki Bunko: Fighting Climax Ignition;2015;Fighting Game;3852.8;3667.3
Dengeki Bunko: Fighting Climax;2014;Fighting Game;60;60
Defense of the Ancients;2003;Multiplayer Online Battle Arena;857420.65;829658.68
Def Jam: Fight for NY;2004;Fighting Game;550;360
Dead or Alive Ultimate;2004;Fighting Game;30000;30000
Dead or Alive 6;2019;Fighting Game;64742.54;63632.54
Dead or Alive 5: Last Round;2015;Fighting Game;15413.82;15413.82
Dead or Alive 5 Ultimate;2013;Fighting Game;0;0
Dead or Alive 5;2012;Fighting Game;0;0
Dead or Alive 4;2005;Fighting Game;497745.31;497745.31
Dead by Daylight Mobile;2020;Strategy;10000;0
Dead By Daylight;2016;Strategy;60000;0
Day of Defeat: Source;2005;First-Person Shooter;14068.57;10286.47
Day of Defeat;2003;First-Person Shooter;51180.41;51180.41
Cultris II;2011;Puzzle Game;190.95;0
Crysis;2007;First-Person Shooter;11340.95;11340.95
CrossFire Mobile;2015;First-Person Shooter;3806431.5;3617409.5
CrossFire HD;2022;First-Person Shooter;571335;571335
CrossFire;2007;First-Person Shooter;17865475.8;16405409.11
Critical Ops;2015;First-Person Shooter;74106.41;40000
Creative Destruction;2018;Multiplayer Online Battle Arena;100000;0
Crab Game;2021;Multiplayer Online Battle Arena;45950;44000
Counter-Strike: Source;2004;First-Person Shooter;3113222.29;2872766.03
Counter-Strike: Global Offensive;2012;First-Person Shooter;161615824.69;105053084.68
Counter-Strike: Condition Zero;2004;First-Person Shooter;162150.6;162150.6
Counter-Strike Online;2016;First-Person Shooter;406989.6;406989.6
Counter-Strike 2;2023;First-Person Shooter;79728.67;14209.46
Counter-Strike;2000;First-Person Shooter;13596060.66;12882830.92
Contractors;2018;First-Person Shooter;1000;0
ComPet;2016;Strategy;2000;0
Company of Heroes 2;2013;Strategy;8561.22;7956.22
Command & Conquer: Red Alert;1996;Strategy;15000;15000
Command & Conquer 3;2007;Strategy;53086.67;53086.67
Clash Royale x Chess;2022;Strategy;0;0
Clash Royale;2016;Strategy;7771166.25;3427579.12
Clash of Clans;2012;Strategy;4471027.87;2827101.87
Chivalry 2;2021;Role-Playing Game;0;0
Chex Quest;1996;First-Person Shooter;100;0
chessarena.com;2021;Strategy;263363.64;54000
chess24;2014;Strategy;4318475.43;0
Chess.com;2007;Strategy;6590063.33;655000
Chaos Code: New Sign of Catastrophe;2013;Fighting Game;140;140
Cave Digger 2;2021;Role-Playing Game;750;0
Catherine: Full Body;2019;Puzzle Game;185;185
Catherine;2011;Puzzle Game;1545;1470
Carom 3D;1999;Sports;60500;60500
Capcom vs. SNK 2;2001;Fighting Game;24976.79;24976.79
Capcom vs. SNK;2000;Fighting Game;140;140
Call of Duty: WWII;2017;First-Person Shooter;4578021;4498605
Call of Duty: Warzone 2.0;2022;First-Person Shooter;141088.78;0
Call of Duty: Warzone;2020;First-Person Shooter;10869721.17;136000
Call of Duty: Vanguard;2021;First-Person Shooter;6321000;5080000
Call of Duty: Modern Warfare II;2022;First-Person Shooter;5009000;4880000
Call of Duty: Modern Warfare 3;2011;First-Person Shooter;1160815.66;1144955.66
Call of Duty: Modern Warfare 2;2009;First-Person Shooter;117360.64;51010.64
Call of Duty: Modern Warfare;2019;First-Person Shooter;7500784.5;678562.5
Call of Duty: Mobile;2019;First-Person Shooter;6240636;3965636
Call of Duty: Infinite Warfare;2016;First-Person Shooter;4166705.06;4049855.06
Call of Duty: Ghosts;2013;First-Person Shooter;1594185.25;1504472.89
Call of Duty: Blackout;2018;First-Person Shooter;611608.35;321008.35
Call of Duty: Black Ops III;2015;First-Person Shooter;3939783.29;3783077.02
Call of Duty: Black Ops Cold War;2020;First-Person Shooter;6299000;3500000
Call of Duty: Black Ops 4;2018;First-Person Shooter;6734938.95;6631161.95
Call of Duty: Black Ops 2;2012;First-Person Shooter;1479139.25;1430071.63
Call of Duty: Black Ops;2010;First-Person Shooter;375793.48;346969.18
Call of Duty: Advanced Warfare;2014;First-Person Shooter;2611808.93;2267636.14
Call of Duty 4: Modern Warfare;2007;First-Person Shooter;425409.27;393007.11
Call of Duty 2;2005;First-Person Shooter;75090.24;69136.44
Call of Duty;2003;First-Person Shooter;54799.77;54799.77
Breakers Revenge;1998;Fighting Game;16;0
Brawlout;2017;Fighting Game;0;0
Brawlhalla;2015;Fighting Game;3616487.83;844264.04
Brawl Stars;2018;Strategy;7145011.8;3098208.14
Borderlands 3;2019;First-Person Shooter;50000;0
Bloodline Champions;2011;Multiplayer Online Battle Arena;41905.32;40850
BlazBlue: Cross Tag Battle;2018;Fighting Game;97872.7;95624.31
BlazBlue: Continuum Shift II;2010;Fighting Game;24591.01;24591.01
BlazBlue: Continuum Shift Extend;2011;Fighting Game;0;0
BlazBlue: Chronophantasma Extend;2015;Fighting Game;4918.77;4918.77
BlazBlue: Chronophantasma;2012;Fighting Game;37020.58;37020.58
BlazBlue: Central Fiction;2015;Fighting Game;89603.21;89306.37
BlazBlue: Calamity Trigger;2008;Fighting Game;35;35
Blaston;2020;First-Person Shooter;19623.06;1780
Blankos Block Party;2020;Multiplayer Online Battle Arena;250;0
Blade & Soul;2012;Role-Playing Game;679006.26;679006.26
Black Squad;2017;First-Person Shooter;8480.72;0
Big Buck Hunter Arcade;2016;First-Person Shooter;76200;76200
Beat Saber;2019;Music / Rhythm Game;16692.06;0
Beat Aim;2019;First-Person Shooter;430;0
Battlerite;2016;Multiplayer Online Battle Arena;65227.95;28000
Battlefield V;2018;First-Person Shooter;0;0
Battlefield Hardline;2015;First-Person Shooter;13463.28;13463.28
Battlefield 4;2013;First-Person Shooter;245766.46;212540.31
Battlefield 3;2011;First-Person Shooter;25407.46;25407.46
Battlefield 2142;2006;First-Person Shooter;18546.14;18546.14
Battlefield 2;2005;First-Person Shooter;94715.22;94715.22
Battlefield 1;2016;First-Person Shooter;0;0
Battalion 1944;2018;First-Person Shooter;206654.67;129863.88
Auto Chess;2019;Strategy;1163720.28;1038222.28
Audio Trip;2020;Music / Rhythm Game;650;0
Attack on Titan Tribute Game;2013;Fighting Game;108650;0
Asuka 120% LimitOver BURNING Fest.;1998;Fighting Game;10;0
Assetto Corsa Competizione;2018;Racing;535914.8;340767.5
Assetto Corsa;2014;Racing;964348.2;656130.85
Asphalt 9: Legends;2018;Racing;51520;51520
Asphalt 4;2008;Racing;29500;29500
Artifact Foundry;2020;Collectible Card Game;1174.5;0
Artifact Classic;2018;Collectible Card Game;120494.08;11635.81
ARMS;2017;Fighting Game;22559.9;13672.93
Ark: Survival Of The Fittest;2017;Battle Royale;0;0
Arena of Valor;2015;Multiplayer Online Battle Arena;77920901.06;73831635.3
Arctic Combat;2012;First-Person Shooter;0;0
Archangel Hellfire;2017;First-Person Shooter;5500;2000
Arcana Heart 3: LOVE MAX!!!!!;2013;Fighting Game;410;410
Arcana Heart 3: Love Max Six Stars!!!!!;2014;Fighting Game;570;520
Arcana Heart 3;2009;Fighting Game;1000;1000
Aquapazza: Aquaplus Dream Match;2011;Fighting Game;245;245
Apex Legends Mobile;2022;Battle Royale;0;0
Apex Legends;2019;Battle Royale;21042713.01;9268599.25
Among Us;2018;Strategy;86000;0
Alliance of Valiant Arms;2009;First-Person Shooter;0;0
Aliens versus Predator 2;2001;First-Person Shooter;43500;43500
Akatsuki Blitzkampf;2007;Fighting Game;20;0
Aim Gods;2020;First-Person Shooter;250000;0
Age of Mythology;2002;Strategy;155403.52;73511.79
Age of Empires Online;2011;Strategy;9806.56;775
Age of Empires IV;2021;Strategy;994675.03;409117.93
Age of Empires III;2005;Strategy;115843.65;41800
Age of Empires II;1999;Strategy;3253232.59;1139384.57
Age of Empires;1997;Strategy;510716.46;375857.63
After-H;2019;First-Person Shooter;44880.4;44880.4
Acceleration of SUGURI 2;2018;Fighting Game;410;210
